tag,date,artifacts
androidx-test-1.1.0-alpha01,2018-11-28-20,core-1.1.0-alpha01; junit-1.1.0-alpha01; truth-1.1.0-alpha01
androidx-test-1.1.0-beta01,2018-12-07-00,runner-1.1.0-beta01; core-1.1.0-beta01; monitor-1.1.0-beta01; junit-1.1.0-beta01; truth-1.1.0-beta01
androidx-test-1.1.0,2018-12-12-19,runner-1.1.0; core-1.1.0; monitor-1.1.0; junit-1.1.0; truth-1.1.0
androidx-test-1.1.1-alpha01,2019-01-29-19,runner-1.1.1-alpha01; core-1.1.1-alpha01; monitor-1.1.1-alpha01; junit-1.1.1-alpha01; truth-1.1.1-alpha01
androidx-test-1.1.1-alpha02,2019-03-07-18,core-1.1.1-alpha02; junit-1.1.1-alpha02
androidx-test-1.2.0-alpha03,2019-04-04-16,runner-1.2.0-alpha03; core-1.2.0-alpha03; monitor-1.2.0-alpha03; junit-1.2.0-alpha03; truth-1.2.0-alpha03
androidx-test-1.2.0-alpha04,2019-04-18-17,runner-1.2.0-alpha04; core-1.2.0-alpha04; monitor-1.2.0-alpha04; junit-1.2.0-alpha04; truth-1.2.0-alpha04
androidx-test-1.2.0-alpha05,2019-04-30-22,runner-1.2.0-alpha05; core-1.2.0-alpha05; monitor-1.2.0-alpha05; truth-1.2.0-alpha05
androidx-test-1.2.0-beta01,2019-05-06-17,runner-1.2.0-beta01; core-1.2.0-beta01; monitor-1.2.0-beta01; junit-1.2.0-beta01; truth-1.2.0-beta01
androidx-test-1.2.0,2019-06-03-15,runner-1.2.0; core-1.2.0; monitor-1.2.0; junit-1.2.0; truth-1.2.0
androidx-test-1.2.1-alpha01,2019-06-14-22,core-1.2.1-alpha01
androidx-test-1.2.1-alpha02,2019-07-09-16,core-1.2.1-alpha02
androidx-test-1.3.0-alpha03,2019-12-03-18,runner-1.3.0-alpha03; core-1.3.0-alpha03; monitor-1.3.0-alpha03; junit-1.3.0-alpha03; truth-1.3.0-alpha03
androidx-test-1.3.0-alpha04,2020-02-15-00,runner-1.3.0-alpha04; core-1.3.0-alpha04; monitor-1.3.0-alpha04; truth-1.3.0-alpha04
androidx-test-1.3.0-alpha05,2020-03-11-17,runner-1.3.0-alpha05; core-1.3.0-alpha05; monitor-1.3.0-alpha05; truth-1.3.0-alpha05
androidx-test-1.3.0-beta01,2020-04-20-19,runner-1.3.0-beta01; core-1.3.0-beta01; monitor-1.3.0-beta01; junit-1.3.0-beta01; truth-1.3.0-beta01
androidx-test-1.3.0-rc02,2020-04-20-19,runner-1.3.0-rc02; core-1.3.0-rc02; monitor-1.3.0-rc02; truth-1.3.0-rc02
androidx-test-1.3.0-beta02,2020-05-20-00,runner-1.3.0-beta02; core-1.3.0-beta02; monitor-1.3.0-beta02; truth-1.3.0-beta02
androidx-test-1.3.0-rc01,2020-05-27-18,runner-1.3.0-rc01; core-1.3.0-rc01; monitor-1.3.0-rc01; junit-1.3.0-rc01; truth-1.3.0-rc01
androidx-test-1.3.0-rc03,2020-08-04-23,runner-1.3.0-rc03; core-1.3.0-rc03; monitor-1.3.0-rc03; truth-1.3.0-rc03
androidx-test-1.3.0,2020-08-24-21,runner-1.3.0; core-1.3.0; monitor-1.3.0; junit-1.3.0; truth-1.3.0
androidx-test-1.3.1-alpha01,2020-10-15-19,runner-1.3.1-alpha01; core-1.3.1-alpha01; monitor-1.3.1-alpha01; truth-1.3.1-alpha01
androidx-test-1.3.1-alpha02,2020-10-20-17,runner-1.3.1-alpha02; core-1.3.1-alpha02; monitor-1.3.1-alpha02; truth-1.3.1-alpha02
androidx-test-1.3.1-alpha03,2021-01-11-20,runner-1.3.1-alpha03; core-1.3.1-alpha03; monitor-1.3.1-alpha03; truth-1.3.1-alpha03
androidx-test-1.4.0-alpha04,2021-02-08-20,runner-1.4.0-alpha04; core-1.4.0-alpha04; monitor-1.4.0-alpha04; truth-1.4.0-alpha04
androidx-test-1.4.0-alpha05,2021-03-12-00,runner-1.4.0-alpha05; core-1.4.0-alpha05; monitor-1.4.0-alpha05; truth-1.4.0-alpha05
androidx-test-1.4.0-alpha06,2021-04-29-16,runner-1.4.0-alpha06; core-1.4.0-alpha06; monitor-1.4.0-alpha06; truth-1.4.0-alpha06
androidx-test-1.4.0-beta01,2021-05-17-19,runner-1.4.0-beta01; core-1.4.0-beta01; monitor-1.4.0-beta01; truth-1.4.0-beta01
androidx-test-1.4.1-alpha01,2021-08-23-16,runner-1.4.1-alpha01; core-1.4.1-alpha01
androidx-test-1.4.0-beta02,2021-12-27-17,runner-1.4.0-beta02; core-1.4.0-beta02; monitor-1.4.0-beta02; truth-1.4.0-beta02
androidx-test-1.4.0-rc01,2021-12-27-17,runner-1.4.0-rc01; core-1.4.0-rc01; monitor-1.4.0-rc01; truth-1.4.0-rc01
androidx-test-1.4.0,2021-12-27-17,runner-1.4.0; core-1.4.0; monitor-1.4.0; truth-1.4.0
