release_tag,release_date,refactoring_type,description,left_files,right_files
androidx-test-1.1.0-beta01,2018-12-07-00,Rename Method,Rename Method private runSynchronouslyOnUiThread(interaction Callable<Void>) : ListenableFuture<Void> renamed to private postAsynchronouslyOnUiThread(interaction Callable<Void>) : ListenableFuture<Void> in class androidx.test.espresso.ViewInteraction,espresso/core/java/androidx/test/espresso/ViewInteraction.java#L300-L304,espresso/core/java/androidx/test/espresso/ViewInteraction.java#L304-L308
androidx-test-1.1.0-beta01,2018-12-07-00,Add Parameter,"Add Parameter controlledLooper : ControlledLooper in method package ViewInteraction(uiController UiController, viewFinder ViewFinder, mainThreadExecutor Executor, failureHandler FailureHandler, viewMatcher Matcher<View>, rootMatcherRef AtomicReference<Matcher<Root>>, needsActivity AtomicReference<Boolean>, remoteInteraction RemoteInteraction, remoteExecutor ListeningExecutorService, controlledLooper ControlledLooper) from class androidx.test.espresso.ViewInteraction",espresso/core/java/androidx/test/espresso/ViewInteraction.java#L79-L99,espresso/core/java/androidx/test/espresso/ViewInteraction.java#L92;espresso/core/java/androidx/test/espresso/ViewInteraction.java#L81-L103
androidx-test-1.1.0-beta01,2018-12-07-00,Change Attribute Type,Change Attribute Type activityTestRule : ActivityTestRule<NavigationViewActivity> to activityTestRule : ActivityScenarioRule<NavigationViewActivity> in class androidx.test.espresso.contrib.NavigationViewActionsIntegrationTest,espresso/contrib/javatests/androidx/test/espresso/contrib/NavigationViewActionsIntegrationTest.java#L46-L47,espresso/contrib/javatests/androidx/test/espresso/contrib/NavigationViewActionsIntegrationTest.java#L46-L47
androidx-test-1.1.0-beta01,2018-12-07-00,Change Attribute Type,Change Attribute Type activityTestRule : ActivityTestRule<ViewPagerActivity> to activityTestRule : ActivityScenarioRule<ViewPagerActivity> in class androidx.test.espresso.contrib.ViewPagerActionsIntegrationTest,espresso/contrib/javatests/androidx/test/espresso/contrib/ViewPagerActionsIntegrationTest.java#L46-L47,espresso/contrib/javatests/androidx/test/espresso/contrib/ViewPagerActionsIntegrationTest.java#L46-L47
androidx-test-1.1.0-beta01,2018-12-07-00,Change Attribute Type,Change Attribute Type rule : ActivityTestRule<SyncActivity> to rule : ActivityScenarioRule<SyncActivity> in class androidx.test.espresso.AppNotIdleExceptionTest,espresso/core/javatests/androidx/test/espresso/AppNotIdleExceptionTest.java#L45,espresso/core/javatests/androidx/test/espresso/AppNotIdleExceptionTest.java#L46
androidx-test-1.1.0-beta01,2018-12-07-00,Change Attribute Type,Change Attribute Type rule : ActivityTestRule<SendActivity> to rule : ActivityScenarioRule<SendActivity> in class androidx.test.espresso.EspressoEdgeCaseTest,espresso/core/javatests/androidx/test/espresso/EspressoEdgeCaseTest.java#L53,espresso/core/javatests/androidx/test/espresso/EspressoEdgeCaseTest.java#L54
androidx-test-1.1.0-beta01,2018-12-07-00,Change Attribute Type,Change Attribute Type rule : ActivityTestRule<MainActivity> to rule : ActivityScenarioRule<MainActivity> in class androidx.test.espresso.EspressoTest,espresso/core/javatests/androidx/test/espresso/EspressoTest.java#L68,espresso/core/javatests/androidx/test/espresso/EspressoTest.java#L69
androidx-test-1.1.0-beta01,2018-12-07-00,Change Attribute Type,Change Attribute Type rule : ActivityTestRule<LongListActivity> to rule : ActivityScenarioRule<LongListActivity> in class androidx.test.espresso.action.AdapterDataIntegrationTest,espresso/core/javatests/androidx/test/espresso/action/AdapterDataIntegrationTest.java#L47,espresso/core/javatests/androidx/test/espresso/action/AdapterDataIntegrationTest.java#L47-L48
androidx-test-1.1.0-beta01,2018-12-07-00,Change Attribute Type,Change Attribute Type rule : ActivityTestRule<LargeViewActivity> to rule : ActivityScenarioRule<LargeViewActivity> in class androidx.test.espresso.action.ClickActionIntegrationTest,espresso/core/javatests/androidx/test/espresso/action/ClickActionIntegrationTest.java#L45,espresso/core/javatests/androidx/test/espresso/action/ClickActionIntegrationTest.java#L45-L46
androidx-test-1.1.0-beta01,2018-12-07-00,Change Attribute Type,Change Attribute Type activityRule : ActivityTestRule<ScaledViewActivity> to activityRule : ActivityScenarioRule<ScaledViewActivity> in class androidx.test.espresso.action.ClickOnScaledViewIntegrationTest,espresso/core/javatests/androidx/test/espresso/action/ClickOnScaledViewIntegrationTest.java#L38-L39,espresso/core/javatests/androidx/test/espresso/action/ClickOnScaledViewIntegrationTest.java#L38-L39
