file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\Emanuel\Desktop\android_test\android-test\espresso\intents\java\androidx\test\espresso\intent\matcher\UriMatchers.java,androidx.test.espresso.intent.matcher.UriMatchers,class,7,14,7,7,20,1,0,20,105,0.0,0.0,0.0,15,14,12,2,0,1,13,0,0,0,0,0,0,0,0,0,0,0,18,163,15,1,3,0,1,1,4,12,1,10,2,7,2,0,91,17,0
C:\Users\Emanuel\Desktop\android_test\android-test\runner\monitor\java\androidx\test\internal\util\ParcelableIBinder.java,androidx.test.internal.util.ParcelableIBinder$Anonymous1,anonymous,2,2,0,2,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-1,0
C:\Users\Emanuel\Desktop\android_test\android-test\espresso\core\java\androidx\test\espresso\matcher\HasBackgroundMatcher.java,androidx.test.espresso.matcher.HasBackgroundMatcher,class,9,12,3,9,12,3,0,17,4,0.6,0.0,0.0,5,2,2,1,1,1,4,0,0,0,2,1,0,2,0,0,2,0,3,48,7,0,4,1,3,2,7,7,3,5,2,0,0,0,48,17,0
C:\Users\Emanuel\Desktop\android_test\android-test\runner\android_junit_runner\javatests\androidx\test\internal\runner\CustomTestFilter.java,androidx.test.internal.runner.CustomTestFilter,class,2,4,2,2,2,2,0,3,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,2,0,0,0,0,0,0,0,0,18,1,0
C:\Users\Emanuel\Desktop\android_test\android-test\espresso\core\java\androidx\test\espresso\base\AsyncTaskPoolMonitor.java,androidx.test.espresso.base.AsyncTaskPoolMonitor$IdleMonitor,innerclass,3,3,0,3,6,1,0,7,0,0.33333334,-1.0,-1.0,3,0,0,3,0,0,0,0,0,0,4,0,0,4,0,0,3,0,1,62,1,1,0,0,0,0,2,7,0,7,2,2,0,0,38,2,0
C:\Users\Emanuel\Desktop\android_test\android-test\espresso\core\javatests\androidx\test\espresso\remote\RemoteMessageDeserializerTest.java,androidx.test.espresso.remote.RemoteMessageDeserializerTest,class,21,22,1,21,8,1,0,35,0,0.3125,0.0,0.0,8,3,5,3,0,0,5,0,0,0,2,0,0,2,0,0,0,0,52,54,3,0,0,0,0,2,0,15,0,14,0,0,0,0,53,1,0
C:\Users\Emanuel\Desktop\android_test\android-test\tools\device_broker\java\com\google\android\apps\common\testing\suite\filter\AnnotationPredicates.java,com.google.android.apps.common.testing.suite.filter.AnnotationPredicates$Anonymous3,anonymous,2,2,0,2,1,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,12,-1,0
C:\Users\Emanuel\Desktop\android_test\android-test\tools\device_broker\java\com\google\android\apps\common\testing\suite\filter\AnnotationPredicates.java,com.google.android.apps.common.testing.suite.filter.AnnotationPredicates$Anonymous2,anonymous,2,2,0,2,4,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,14,1,0,1,1,0,3,1,2,0,2,1,0,0,0,21,-1,0
C:\Users\Emanuel\Desktop\android_test\android-test\runner\monitor\java\androidx\test\runner\lifecycle\ApplicationLifecycleMonitor.java,androidx.test.runner.lifecycle.ApplicationLifecycleMonitor,interface,1,4,3,1,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,1,0
C:\Users\Emanuel\Desktop\android_test\android-test\tools\device_broker\java\com\google\android\apps\common\testing\suite\filter\AnnotationPredicates.java,com.google.android.apps.common.testing.suite.filter.AnnotationPredicates$Anonymous1,anonymous,2,2,0,2,1,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,1,0,0,0,0,1,1,0,0,0,0,0,0,0,12,-1,0
